S=4　サンプルサイズ2^d
d  WAFOM        log_10(WAFOM)
1 15.1612807397 1.1807358896
2 7.2970766280 0.8631489069
3 3.3856865492 0.5296467482
4 1.4349226212 0.1568284822
5 0.6073717484 -0.2165454129
6 0.2557584971 -0.5921699288
7 0.0984960774 -1.0065810650
8 0.0356905041 -1.4474473175
9 0.0138296199 -1.8591897549
10 0.0045830949 -2.3388411471
11 0.0012607731 -2.8993630806
12 0.0004082667 -3.3890560340
13 0.0001089567 -3.9627458650
14 0.0000324589 -4.4886667944
15 0.0000085823 -5.0663939500
16 0.0000017319 -5.7614730669
17 0.0000004454 -6.3512953091
18 0.0000000968 -7.0141591758
19 0.0000000214 -7.6699978450
20 0.0000000051 -8.2885862839
21 0.0000000007 -9.1261994301
22 0.0000000001 -9.8796498274
23 0.0000000000 -10.6044385297
24 0.0000000000 -11.3558129085
25 0.0000000000 -12.0002098087
26 0.0000000000 -12.7611763885
27 0.0000000000 -13.5980013253
28 0.0000000000 -14.4666284261



S=10
d WAFOM           log_10(WAFOM)
1 2966.9280833608 3.4723070194
2 1482.9821868785 3.1711359344
3 741.0611642726 2.8698540544
4 370.1139476176 2.5683354516
5 184.6573463736 2.2663665902
6 92.0544262115 1.9640446753
7 45.8164963669 1.6610218752
8 22.7367355083 1.3567281098
9 11.2399032893 1.0507625745
10 5.5328184942 0.7429464233
11 2.7149718379 0.4337653291
12 1.3220968112 0.1212632577
13 0.6392723537 -0.1943140769
14 0.3065314818 -0.5135249154
15 0.1462805269 -0.8348134841
16 0.0694693931 -1.1582064954
17 0.0325094113 -1.4879908952
18 0.0149707224 -1.8247572418
19 0.0067610933 -2.1699830694
20 0.0030624852 -2.5139259976
21 0.0013222042 -2.8787014592
22 0.0005686433 -3.2451600819
23 0.0002426169 -3.6150790108
24 0.0001042575 -3.9818926859
25 0.0000450063 -4.3467270254
26 0.0000184368 -4.7343136648
27 0.0000074598 -5.1272753733
28 0.0000029174 -5.5350078123
 
